Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoader,testParseBytecodes,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 23
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoader,testParseBytecodeRegressionIinc,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoader,testIloadW,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoader,testParseBytecodeRegressionNegativeInc,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoader,testParseBytecodeRegressionNewArray,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoader,testParseBytecodeRegressionTableSwitch,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoader,testParseBytecodeRegressionTableSwitch2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoader,testParseBytecodeRegressionLookupSwitch,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoader,testLineNumberTable,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoader,testExceptionTable,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoader,testMethodWithNoSectionsAfterBytecodeGitHubIssue319,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoader,testClassFileVersion,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoader,testClassFileVersionWithRuntimeAnnotations,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoader,testRegressionJMHSampleWithRuntimeAnnotations,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 40
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoader,testStaticInitialiserRegression,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoader,testExampleOverloadedMethodString,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoader,testExampleOverloadedMethodObject,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoader,testSignatureGenericsParser,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoaderWithInnerClasses,testCompilationCreatedCorrectOutputs,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoaderWithInnerClasses,testSearchFromSourceOuterClassConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoaderWithInnerClasses,testSearchFromSourceOuterClassMethod,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoaderWithInnerClasses,testSearchFromSourceInner1ClassConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoaderWithInnerClasses,testSearchFromSourceInner1ClassMethod,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoaderWithInnerClasses,testSearchFromSourceInner2ClassConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoaderWithInnerClasses,testSearchFromSourceInner2ClassMethod,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoaderWithInnerClasses,testSearchFromBytecodeOuterClassConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoaderWithInnerClasses,testSearchFromBytecodeOuterClassMethod,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoaderWithInnerClasses,testSearchFromBytecodeInner1ClassConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoaderWithInnerClasses,testSearchFromBytecodeInner1ClassMethod,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoaderWithInnerClasses,testSearchFromBytecodeInner2ClassConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoaderWithInnerClasses,testSearchFromBytecodeInner2ClassMethod,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
jitwatch,org.adoptopenjdk.jitwatch.test,TestCompilationUtil,testCompileSimple,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
jitwatch,org.adoptopenjdk.jitwatch.test,TestCompilationUtil,testCompileSimple,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
jitwatch,org.adoptopenjdk.jitwatch.test,TestCompilationUtil,testCompileSimple,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
jitwatch,org.adoptopenjdk.jitwatch.test,TestCompileChain,testRegressionTwoInlinesC2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jitwatch,org.adoptopenjdk.jitwatch.test,TestCompileChain,testJava7LateInlineRegression,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 29
jitwatch,org.adoptopenjdk.jitwatch.test,TestCompileChain,testJava8LateInlineRegression,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 29
jitwatch,org.adoptopenjdk.jitwatch.test,TestCompileChain,testJDK9XMLWithHIRPhase,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 47
jitwatch,org.adoptopenjdk.jitwatch.test,TestCompileChain,testJDK9CompileTaskWithNoParsePhase,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jitwatch,org.adoptopenjdk.jitwatch.test,TestExecutionUtil,testExecuteDemo,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
jitwatch,org.adoptopenjdk.jitwatch.test,TestHisto,testHistoPercentiles,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jitwatch,org.adoptopenjdk.jitwatch.test,TestInnerClassRelationship,testInnerClassRelationshipParse,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jitwatch,org.adoptopenjdk.jitwatch.test,TestInnerClassRelationship,testInnerClassNameFinder,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jitwatch,org.adoptopenjdk.jitwatch.test,TestIntrinsicFinder,testRegressionIntrinsicFinderNeedParseDictionary,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
jitwatch,org.adoptopenjdk.jitwatch.test,TestIntrinsicFinder,testRegressionIntrinsicFinderCallTagChangesContext,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
jitwatch,org.adoptopenjdk.jitwatch.test,TestJ9Parser,testParseLine,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
jitwatch,org.adoptopenjdk.jitwatch.test,TestJ9Parser,testParseLineWiothObjectReturn,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
jitwatch,org.adoptopenjdk.jitwatch.test,TestJ9Parser,testParseLineWithComplexTemperature,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 15
jitwatch,org.adoptopenjdk.jitwatch.test,TestJITWatchConfig,testConfigOnlyBuiltInProfiles,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
jitwatch,org.adoptopenjdk.jitwatch.test,TestJITWatchConfig,testEmptyConfigSaveReload,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
jitwatch,org.adoptopenjdk.jitwatch.test,TestJITWatchConfig,testSwitchBetweenDefaultAndUserProfiles,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 16
jitwatch,org.adoptopenjdk.jitwatch.test,TestJITWatchConfig,testMakeCustomProfileThenDeleteIt,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 18
jitwatch,org.adoptopenjdk.jitwatch.test,TestLineTable,testCompositeLineTable,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 25
jitwatch,org.adoptopenjdk.jitwatch.test,TestLineTable,testNonSequentialBCIs,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
jitwatch,org.adoptopenjdk.jitwatch.test,TestLineTable,testHighlightRange,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
jitwatch,org.adoptopenjdk.jitwatch.test,TestLogSplitting,testCanParseAssemblyAndNMethodMangled,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
jitwatch,org.adoptopenjdk.jitwatch.test,TestLogSplitting,testHeaderXMLTextNodes,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
jitwatch,org.adoptopenjdk.jitwatch.test,TestLogSplitting,testInitMethodInAssemblyNotIdentifiedAsLogCompilation,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
jitwatch,org.adoptopenjdk.jitwatch.test,TestMemberBytecode,testMultipleBackBranches,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
jitwatch,org.adoptopenjdk.jitwatch.test,TestMemberSignatureParts,testPackageConstructorNoParams,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jitwatch,org.adoptopenjdk.jitwatch.test,TestMemberSignatureParts,testPublicConstructorNoParams,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
jitwatch,org.adoptopenjdk.jitwatch.test,TestMemberSignatureParts,testConstructorWithParams,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
jitwatch,org.adoptopenjdk.jitwatch.test,TestMemberSignatureParts,testSimpleMethodNoParams,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
jitwatch,org.adoptopenjdk.jitwatch.test,TestMemberSignatureParts,testSimpleMethodWithParams,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
jitwatch,org.adoptopenjdk.jitwatch.test,TestMemberSignatureParts,testSimpleMethodWithParamsAndParamNames,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
jitwatch,org.adoptopenjdk.jitwatch.test,TestMemberSignatureParts,testSimpleGenericMethod,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
jitwatch,org.adoptopenjdk.jitwatch.test,TestMemberSignatureParts,testSignatureWithGenericExtends,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 14
jitwatch,org.adoptopenjdk.jitwatch.test,TestMemberSignatureParts,testSignatureWithGenericRegressionReturnTypeHasGenerics,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
jitwatch,org.adoptopenjdk.jitwatch.test,TestMemberSignatureParts,testSignatureWithGenericNoExtends,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 14
jitwatch,org.adoptopenjdk.jitwatch.test,TestMemberSignatureParts,testStaticInitialiserBytecode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jitwatch,org.adoptopenjdk.jitwatch.test,TestMemberSignatureParts,testJava7DisassemblySignature,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
jitwatch,org.adoptopenjdk.jitwatch.test,TestMemberSignatureParts,testJava8DisassemblySignature,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
jitwatch,org.adoptopenjdk.jitwatch.test,TestMemberSignatureParts,testFromAssemblyRegression,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
jitwatch,org.adoptopenjdk.jitwatch.test,TestMemberSignatureParts,testNashornSignatureWithColon,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jitwatch,org.adoptopenjdk.jitwatch.test,TestMemberSignatureParts,testRegressionSubstituteGenericsForClassloading,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
jitwatch,org.adoptopenjdk.jitwatch.test,TestMemberSignatureParts,testRegressionGenericsWithSuper,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
jitwatch,org.adoptopenjdk.jitwatch.test,TestOpcode,testIsAllocation,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jitwatch,org.adoptopenjdk.jitwatch.test,TestParseUtil,testSourceSignatureRegExMatcher,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
jitwatch,org.adoptopenjdk.jitwatch.test,TestParseUtil,testMemberSignaturePartsPrimitiveParamPrimitiveReturn,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jitwatch,org.adoptopenjdk.jitwatch.test,TestParseUtil,testMemberSignaturePartsConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
jitwatch,org.adoptopenjdk.jitwatch.test,TestParseUtil,testMemberSignaturePartsPrimitiveParamVoidReturn,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jitwatch,org.adoptopenjdk.jitwatch.test,TestParseUtil,testMemberSignaturePartsPrimitiveParamObjectReturn,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jitwatch,org.adoptopenjdk.jitwatch.test,TestParseUtil,testMemberSignaturePartsMultiDimensionalArrayParamPrimitiveReturn,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
jitwatch,org.adoptopenjdk.jitwatch.test,TestParseUtil,testMemberSignaturePartsClassIsArrayClone,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
jitwatch,org.adoptopenjdk.jitwatch.test,TestParseUtil,testMemberSignaturePartsClassHasUnderscores,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
jitwatch,org.adoptopenjdk.jitwatch.test,TestParseUtil,testVarArgsInBytecodeSignatureMatches,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
jitwatch,org.adoptopenjdk.jitwatch.test,TestParseUtil,testMethodWithUnderscores,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
jitwatch,org.adoptopenjdk.jitwatch.test,TestParseUtil,testExpandParameterType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
jitwatch,org.adoptopenjdk.jitwatch.test,TestParseUtil,testASCIILogSignatures,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jitwatch,org.adoptopenjdk.jitwatch.test,TestParseUtil,testNonASCIILogSignatures,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jitwatch,org.adoptopenjdk.jitwatch.test,TestParseUtil,testNonASCIILogSignaturesRegression,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jitwatch,org.adoptopenjdk.jitwatch.test,TestParseUtil,testASCIILogSignaturesArrayWithArrayParam,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jitwatch,org.adoptopenjdk.jitwatch.test,TestParseUtil,testEclipseLogParseRegression,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jitwatch,org.adoptopenjdk.jitwatch.test,TestParseUtil,testLambdaSignatureRegression,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
jitwatch,org.adoptopenjdk.jitwatch.test,TestParseUtil,testFindClassForLogCompilationParameter,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
jitwatch,org.adoptopenjdk.jitwatch.test,TestParseUtil,testFindClassForLogCompilationParameterRegressionForGenerics,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
jitwatch,org.adoptopenjdk.jitwatch.test,TestParseUtil,testStripGenerics,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
jitwatch,org.adoptopenjdk.jitwatch.test,TestParseUtil,testRegressionStringToUpper,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
jitwatch,org.adoptopenjdk.jitwatch.test,TestParseUtil,testRegressionStringToUpperLocale,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
jitwatch,org.adoptopenjdk.jitwatch.test,TestParseUtil,testValhallaRegressionBytecodeNameContainsCharacterNotValidAsJavaName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
